"cohort","mean","kin"
1946,1.59672972810995,"siblings"
1947,1.645428833127,"siblings"
1948,1.70530243007151,"siblings"
1949,1.74921798379187,"siblings"
1950,1.8012101092311,"siblings"
1951,1.82647519408257,"siblings"
1952,1.873202272306,"siblings"
1953,1.89654576856649,"siblings"
1954,1.92402023744374,"siblings"
1955,1.94616646567366,"siblings"
1956,1.96202801981889,"siblings"
1957,1.9711251564054,"siblings"
1958,1.98148267560829,"siblings"
1959,1.98967427622927,"siblings"
1960,2.00580343351428,"siblings"
1961,2.00079373592191,"siblings"
1962,1.99796851722594,"siblings"
1963,1.97549801974346,"siblings"
1964,1.95682671855908,"siblings"
1965,1.93715610398513,"siblings"
1966,1.89186711250135,"siblings"
1967,1.8686310005731,"siblings"
1968,1.85603930534611,"siblings"
1969,1.84967286801069,"siblings"
1970,1.85121889922091,"siblings"
1971,1.83662317817387,"siblings"
1972,1.84527481566346,"siblings"
1973,1.85474134484688,"siblings"
1974,1.86343984495353,"siblings"
1975,1.88130851973441,"siblings"
1976,1.9017129737983,"siblings"
1977,1.93386261492483,"siblings"
1978,1.96834669362232,"siblings"
1979,2.01056070419819,"siblings"
1980,2.03518768262531,"siblings"
1981,2.05995930259446,"siblings"
1982,2.09611690050649,"siblings"
1983,2.12209561846587,"siblings"
1984,2.12737803621712,"siblings"
1985,2.15626630151278,"siblings"
1986,2.15035916982555,"siblings"
1987,2.12780679116458,"siblings"
1988,2.12444373057191,"siblings"
1989,2.10641922670456,"siblings"
1990,2.09179413490234,"siblings"
1991,2.07549853909518,"siblings"
1992,2.05864088994863,"siblings"
1993,2.04001532539739,"siblings"
1994,2.01102043468976,"siblings"
1995,2.01545599710765,"siblings"
1996,1.99901277962203,"siblings"
1997,1.99450167117256,"siblings"
1998,2.0042522381713,"siblings"
1999,1.99309641847751,"siblings"
2000,1.99582741277038,"siblings"
2001,1.96061063579936,"siblings"
2002,1.93630376401381,"siblings"
2003,1.90713727265246,"siblings"
2004,1.86983677800799,"siblings"
2005,1.84803926508975,"siblings"
2006,1.81214851399192,"siblings"
2007,1.78327213771398,"siblings"
2008,1.75565323108576,"siblings"
2009,1.70860824129064,"siblings"
2010,1.66265869194547,"siblings"
2011,1.60576826541323,"siblings"
2012,1.54089052067023,"siblings"
2013,1.47179505508744,"siblings"
2014,1.38628595467213,"siblings"
2015,1.23703555315554,"siblings"
2016,1.09524733105088,"siblings"
2017,1.04771344114067,"siblings"
1950,0.072992075390876,"cousins"
1951,0.184431190928376,"cousins"
1952,0.381330890931493,"cousins"
1953,0.667098445595854,"cousins"
1954,1.04334520924311,"cousins"
1955,1.55205719066089,"cousins"
1956,2.16289723218862,"cousins"
1957,2.78462574994385,"cousins"
1958,3.52972659272634,"cousins"
1959,4.44348875811076,"cousins"
1960,5.35607264221722,"cousins"
1961,6.29635310522364,"cousins"
1962,7.38083530404526,"cousins"
1963,8.32944178439833,"cousins"
1964,9.25418835135991,"cousins"
1965,10.1672349407371,"cousins"
1966,11.0362690108942,"cousins"
1967,11.715502105943,"cousins"
1968,12.3761638371358,"cousins"
1969,12.8766420592421,"cousins"
1970,13.3513646644886,"cousins"
1971,13.7556456058569,"cousins"
1972,14.2100604173399,"cousins"
1973,14.590979051731,"cousins"
1974,14.9345624409879,"cousins"
1975,15.2635195760717,"cousins"
1976,15.2928995731497,"cousins"
1977,15.510654073415,"cousins"
1978,15.5732151672583,"cousins"
1979,15.6415712875892,"cousins"
1980,15.8717801753203,"cousins"
1981,15.952562086667,"cousins"
1982,16.0683472084764,"cousins"
1983,16.2338423587454,"cousins"
1984,16.2373572033607,"cousins"
1985,16.3514932185707,"cousins"
1986,16.2632306435737,"cousins"
1987,16.1052102172278,"cousins"
1988,15.9785901227336,"cousins"
1989,15.8110309391057,"cousins"
1990,15.5165333174618,"cousins"
1991,15.2886969410442,"cousins"
1992,14.8469521661192,"cousins"
1993,14.369716301946,"cousins"
1994,14.1380850253925,"cousins"
1995,13.7952959135509,"cousins"
1996,13.6140402265183,"cousins"
1997,13.3967352246672,"cousins"
1998,13.2281383241585,"cousins"
1999,13.0472825835148,"cousins"
2000,12.8902722331236,"cousins"
2001,12.5650282391098,"cousins"
2002,12.3724583315572,"cousins"
2003,12.0606740185993,"cousins"
2004,11.7387437465259,"cousins"
2005,11.4669179524908,"cousins"
2006,11.1957614284198,"cousins"
2007,10.9324400362405,"cousins"
2008,10.4879360329187,"cousins"
2009,10.1842073957485,"cousins"
2010,9.69450751384827,"cousins"
2011,9.38863688221604,"cousins"
2012,9.00952072422295,"cousins"
2013,8.53978536899199,"cousins"
2014,8.09986678585827,"cousins"
2015,7.56890274705175,"cousins"
2016,6.99168535914863,"cousins"
2017,6.53289862632585,"cousins"
1950,0.0282608695652174,"uncles/aunts"
1951,0.0731794000377613,"uncles/aunts"
1952,0.151679696444343,"uncles/aunts"
1953,0.269678324697755,"uncles/aunts"
1954,0.423657259010241,"uncles/aunts"
1955,0.626989559227752,"uncles/aunts"
1956,0.878481120792755,"uncles/aunts"
1957,1.14182895398205,"uncles/aunts"
1958,1.45572177800705,"uncles/aunts"
1959,1.83586626139818,"uncles/aunts"
1960,2.22087250099298,"uncles/aunts"
1961,2.6389466909793,"uncles/aunts"
1962,3.11303378512121,"uncles/aunts"
1963,3.53593032649603,"uncles/aunts"
1964,3.96026609947052,"uncles/aunts"
1965,4.3813389619527,"uncles/aunts"
1966,4.79313630316758,"uncles/aunts"
1967,5.13303374057329,"uncles/aunts"
1968,5.43523860485479,"uncles/aunts"
1969,5.68885089129389,"uncles/aunts"
1970,5.93643629052526,"uncles/aunts"
1971,6.16270950396039,"uncles/aunts"
1972,6.40170186931445,"uncles/aunts"
1973,6.60864915647238,"uncles/aunts"
1974,6.80671868011728,"uncles/aunts"
1975,6.96811037336515,"uncles/aunts"
1976,7.03624327125615,"uncles/aunts"
1977,7.15418748431548,"uncles/aunts"
1978,7.22780272220786,"uncles/aunts"
1979,7.27640459634516,"uncles/aunts"
1980,7.41300292200494,"uncles/aunts"
1981,7.49144429542616,"uncles/aunts"
1982,7.57794725505036,"uncles/aunts"
1983,7.68542229531305,"uncles/aunts"
1984,7.7417183672535,"uncles/aunts"
1985,7.80779429664406,"uncles/aunts"
1986,7.84426898992649,"uncles/aunts"
1987,7.8085184206783,"uncles/aunts"
1988,7.81082587703966,"uncles/aunts"
1989,7.80392478408221,"uncles/aunts"
1990,7.72982119019479,"uncles/aunts"
1991,7.66702443927661,"uncles/aunts"
1992,7.52347951385613,"uncles/aunts"
1993,7.35566505096585,"uncles/aunts"
1994,7.29249180662712,"uncles/aunts"
1995,7.20190212206121,"uncles/aunts"
1996,7.17880622274296,"uncles/aunts"
1997,7.11257885310792,"uncles/aunts"
1998,7.1025478951421,"uncles/aunts"
1999,7.1014224157902,"uncles/aunts"
2000,7.12031711662945,"uncles/aunts"
2001,7.05757423251132,"uncles/aunts"
2002,7.06639242934481,"uncles/aunts"
2003,7.01970002468933,"uncles/aunts"
2004,6.97333872353327,"uncles/aunts"
2005,6.97354444030114,"uncles/aunts"
2006,6.9832154880531,"uncles/aunts"
2007,6.99979972342759,"uncles/aunts"
2008,6.96839053586458,"uncles/aunts"
2009,6.98215576643271,"uncles/aunts"
2010,6.94795522612222,"uncles/aunts"
2011,6.97720074841418,"uncles/aunts"
2012,6.97945575292911,"uncles/aunts"
2013,6.9384968681029,"uncles/aunts"
2014,6.91568070673608,"uncles/aunts"
2015,6.81666869893915,"uncles/aunts"
2016,6.67509655439934,"uncles/aunts"
2017,6.66276299773953,"uncles/aunts"
1950,0.0229385307346326,"grandparents"
1951,0.055920212352425,"grandparents"
1952,0.114073250248056,"grandparents"
1953,0.196578151986183,"grandparents"
1954,0.30419826440466,"grandparents"
1955,0.439044794280934,"grandparents"
1956,0.595869639501111,"grandparents"
1957,0.767803479953373,"grandparents"
1958,0.95774224056401,"grandparents"
1959,1.18944146241565,"grandparents"
1960,1.4129926298601,"grandparents"
1961,1.65942293253245,"grandparents"
1962,1.91673004198398,"grandparents"
1963,2.14364248980316,"grandparents"
1964,2.37167941349505,"grandparents"
1965,2.57734841514676,"grandparents"
1966,2.76948729011613,"grandparents"
1967,2.93237330228242,"grandparents"
1968,3.07504986136109,"grandparents"
1969,3.19479455701517,"grandparents"
1970,3.29435536566977,"grandparents"
1971,3.40990725248794,"grandparents"
1972,3.52067604751133,"grandparents"
1973,3.62372071639881,"grandparents"
1974,3.71560900462158,"grandparents"
1975,3.78724414934606,"grandparents"
1976,3.83900052381112,"grandparents"
1977,3.910010722515,"grandparents"
1978,3.95549965913632,"grandparents"
1979,4.01742346041721,"grandparents"
1980,4.10153967183637,"grandparents"
1981,4.18351986310872,"grandparents"
1982,4.27234092099901,"grandparents"
1983,4.37878538705509,"grandparents"
1984,4.46764039284815,"grandparents"
1985,4.56736871848374,"grandparents"
1986,4.68864269408783,"grandparents"
1987,4.79561480156875,"grandparents"
1988,4.90887102107919,"grandparents"
1989,5.02858860828687,"grandparents"
1990,5.12602562685463,"grandparents"
1991,5.21446764287479,"grandparents"
1992,5.26399979415221,"grandparents"
1993,5.28698588637822,"grandparents"
1994,5.36733234920016,"grandparents"
1995,5.42223293463087,"grandparents"
1996,5.5098939009308,"grandparents"
1997,5.59079657324071,"grandparents"
1998,5.64840885844644,"grandparents"
1999,5.74394199138211,"grandparents"
2000,5.83457383223944,"grandparents"
2001,5.89832802102555,"grandparents"
2002,5.9720682893559,"grandparents"
2003,6.02383548679121,"grandparents"
2004,6.04841073323563,"grandparents"
2005,6.07633310825111,"grandparents"
2006,6.11714431786393,"grandparents"
2007,6.10246530923656,"grandparents"
2008,6.08888992799027,"grandparents"
2009,6.08822372093449,"grandparents"
2010,6.07880485197587,"grandparents"
2011,6.0610322639529,"grandparents"
2012,6.0433561902705,"grandparents"
2013,5.99749805652605,"grandparents"
2014,5.94357679970553,"grandparents"
2015,5.86837842075009,"grandparents"
2016,5.7594741369133,"grandparents"
2017,5.75051295426882,"grandparents"
1950,0.0229385307346326,"parents"
1951,0.055920212352425,"parents"
1952,0.114073250248056,"parents"
1953,0.196578151986183,"parents"
1954,0.30419826440466,"parents"
1955,0.439044794280934,"parents"
1956,0.595869639501111,"parents"
1957,0.767803479953373,"parents"
1958,0.95774224056401,"parents"
1959,1.18944146241565,"parents"
1960,1.4129926298601,"parents"
1961,1.65942293253245,"parents"
1962,1.91673004198398,"parents"
1963,2.14364248980316,"parents"
1964,2.37167941349505,"parents"
1965,2.57734841514676,"parents"
1966,2.76948729011613,"parents"
1967,2.93237330228242,"parents"
1968,3.07504986136109,"parents"
1969,3.19479455701517,"parents"
1970,3.29435536566977,"parents"
1971,3.40990725248794,"parents"
1972,3.52067604751133,"parents"
1973,3.62372071639881,"parents"
1974,3.71560900462158,"parents"
1975,3.78724414934606,"parents"
1976,3.83900052381112,"parents"
1977,3.910010722515,"parents"
1978,3.95549965913632,"parents"
1979,4.01742346041721,"parents"
1980,4.10153967183637,"parents"
1981,4.18351986310872,"parents"
1982,4.27234092099901,"parents"
1983,4.37878538705509,"parents"
1984,4.46764039284815,"parents"
1985,4.56736871848374,"parents"
1986,4.68864269408783,"parents"
1987,4.79561480156875,"parents"
1988,4.90887102107919,"parents"
1989,5.02858860828687,"parents"
1990,5.12602562685463,"parents"
1991,5.21446764287479,"parents"
1992,5.26399979415221,"parents"
1993,5.28698588637822,"parents"
1994,5.36733234920016,"parents"
1995,5.42223293463087,"parents"
1996,5.5098939009308,"parents"
1997,5.59079657324071,"parents"
1998,5.64840885844644,"parents"
1999,5.74394199138211,"parents"
2000,5.83457383223944,"parents"
2001,5.89832802102555,"parents"
2002,5.9720682893559,"parents"
2003,6.02383548679121,"parents"
2004,6.04841073323563,"parents"
2005,6.07633310825111,"parents"
2006,6.11714431786393,"parents"
2007,6.10246530923656,"parents"
2008,6.08888992799027,"parents"
2009,6.08822372093449,"parents"
2010,6.07880485197587,"parents"
2011,6.0610322639529,"parents"
2012,6.0433561902705,"parents"
2013,5.99749805652605,"parents"
2014,5.94357679970553,"parents"
2015,5.86837842075009,"parents"
2016,5.7594741369133,"parents"
2017,5.75051295426882,"parents"
